title,filename,category,folder,authorship,content_type,description,size_mb,confidence,source_path,dest_path,status
Adventures with the Phoenix,Adventures with the Phoenix.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A personal memoir/testimony about Bob Burr's journey through addiction, recovery, and spiritual transformation, using the phoenix metaphor to illustrate his rise from the ashes of addiction to a new l",13.96,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/Adventures with the Phoenix.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Adventures with the Phoenix.pdf,COPIED
Arizona Restitution Payment,Arizona Restitution Payment  (1 of 120) (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A personal memoir/testimony about Bob Burr's journey through addiction, legal troubles, and eventual redemption, focusing on his experiences with restitution payments and recovery in Arizona.",1.67,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's  Folder/Arizona Restitution Payment  (1 of 120) (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Arizona Restitution Payment  (1 of 120) (2019_07_29 16_12_18 UTC).pdf,COPIED
Bob Burr's Testimony,Bob Burr's Testimony.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,testimony/memoir,"A personal testimony detailing Robert Burr's journey from a nominal Christian upbringing through Navy service, entrepreneurial success, imprisonment for 14 years, and ultimate redemption through faith",0.28,HIGH,/Volumes/Macintosh HD/Users/robertburr/Documents/Bob Burr's Testimony.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Bob Burr's Testimony.pdf,COPIED
Bob Burr's Testimony,Bob Burr's Testimony (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,testimony/memoir,"A personal testimony documenting Bob Burr's life journey from a nominal Christian upbringing through military service, business success, imprisonment for white collar crimes, and ultimate spiritual tr",0.28,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Documents/Bob Burr's Testimony (2019_07_29 16_12_18 UTC).pdf,,DUPLICATE_SKIPPED
Bob's DCR Exit Paper,Bob's DCR Exit Paper (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,article,A personal exit paper or testimonial document likely written by Bob Burr upon completing a recovery program at DCR (possibly a recovery center or treatment facility). This appears to be a reflection o,13.13,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's  Folder/Bob's DCR Exit Paper (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Bob's DCR Exit Paper (2019_07_29 16_12_18 UTC).pdf,COPIED
Circle of Influence,Circle-of-Influence (1).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A book about rebuilding life through understanding and leveraging one's social connections, written from the perspective of someone with extensive recovery experience and faith-based approach. The boo",13.05,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Circle-of-Influence (1).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Circle-of-Influence (1).pdf,COPIED
Circle of Influence: Build Your Inner Circle of Power,Circle-of-Influence (2).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A self-help book by Bob Burr focused on building a strong, positive inner circle of relationships that empower personal growth and success. The book draws on evolutionary psychology, Bob's 51 years of",5.52,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Circle-of-Influence (2).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Circle-of-Influence (2).pdf,COPIED
Circle of Influence: Build Your Inner Circle of Power,Circle-of-Influence (3).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A book about building meaningful relationships and social connections, written by Bob Burr based on his 51 years of experience rebuilding lives, including his own three times. The book explores the im",9.51,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Circle-of-Influence (3).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Circle-of-Influence (3).pdf,COPIED
Circle of Influence: Build Your Inner Circle of Power,Circle-of-Influence.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A self-help book about building and maintaining meaningful relationships and social connections, written by Bob Burr who draws on his 51 years of experience rebuilding lives, including his own three t",8.96,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Circle-of-Influence.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Circle-of-Influence.pdf,COPIED
Circle of Influence: Build Your Inner Circle of Power,Circle of Influence.pdf 12-25.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A self-help book by Bob Burr focusing on the importance of building a strong, positive inner circle of people to achieve personal growth and success. The book combines evolutionary psychology, persona",5.52,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Circle of Influence.pdf 12-25.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Circle of Influence.pdf 12-25.pdf,COPIED
Curdie's Kingdom Adventure,Curdie’s Kingdom Adventure.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"This appears to be a children's or young adult fantasy adventure book about a character named Curdie, written by Bob Burr and published by Redemption Press.",20.66,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/Curdie’s Kingdom Adventure.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Curdie’s Kingdom Adventure.pdf,COPIED
DIGITAL FOCUS: Personal Action Workbook,DIGITAL FOCUS_ Personal Action Workbook.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A practical workbook by Bob Burr (""Digital Grandpa"") designed to help readers eliminate digital distractions and develop focused attention through exercises, assessments, and actionable strategies. Th",0.7,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/DIGITAL FOCUS_ Personal Action Workbook.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/DIGITAL FOCUS_ Personal Action Workbook.pdf,COPIED
DIGITAL GRANDPA ANTHOLOGY - VOLUME 2: RELATIONSHIPS - The People Who Save Your Life,VOLUME 2_ RELATIONSHIPS - The People Who Save Your Life.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A self-help book focused on building healthy relationships during recovery and life rebuilding, with special chapters addressing women's challenges and toxic relationship patterns. Part of a larger an",0.15,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/VOLUME 2_ RELATIONSHIPS - The People Who Save Your Life.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/VOLUME 2_ RELATIONSHIPS - The People Who Save Your Life.pdf,COPIED
Decisive Action: Stop Overthinking and Start Executing Your Guide to Breaking Through Analysis Paralysis,DECISIVE-ACTION.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A self-help book by Bob Burr (""Digital Grandpa"") focused on overcoming analysis paralysis and taking decisive action, drawing from his personal experience rebuilding after 9/11 and his background in b",8.39,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/DECISIVE-ACTION.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/DECISIVE-ACTION.pdf,COPIED
Digital Focus,DIGITAL-FOCUS.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,A personal action workbook designed to help readers eliminate digital distractions and develop focused attention through practical exercises and daily implementation strategies. The book positions its,5.14,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/DIGITAL-FOCUS.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/DIGITAL-FOCUS.pdf,COPIED
Digital Focus,DIGITAL-FOCUS.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A practical workbook by Bob Burr (writing as ""Digital Grandpa"") designed to help readers eliminate digital distractions and develop focused attention through actionable exercises and daily practices.",4.73,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/DIGITAL-FOCUS.pdf,,DUPLICATE_SKIPPED
Digital Grandpa: A Community of Purpose,Digital-Grandpa-A-Community-of-Purpose.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A book about a support platform/movement created by Robert Burr (the founder) that helps veterans, formerly incarcerated individuals, and vulnerable communities through technology, education, and comm",1.16,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Digital-Grandpa-A-Community-of-Purpose/Digital-Grandpa-A-Community-of-Purpose.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Digital-Grandpa-A-Community-of-Purpose.pdf,COPIED
